route_name,olon,olat,dlon,dlat
New York-Vancouver,-74.0060152,40.7127281,-123.113952,49.2608724
Los Angeles-Vancouver,-118.242766,34.0536909,-123.113952,49.2608724
Chicago-Vancouver,-87.6244212,41.8755616,-123.113952,49.2608724
San Diego-Vancouver,-117.162772,32.7174202,-123.113952,49.2608724
San Francisco-Vancouver,-122.4193286,37.7792588,-123.113952,49.2608724
Seattle-Vancouver,-122.330062,47.6038321,-123.113952,49.2608724
Washington-Vancouver,-77.0365427,38.8950368,-123.113952,49.2608724
Boston-Vancouver,-71.060511,42.3554334,-123.113952,49.2608724
Baltimore-Vancouver,-76.610759,39.2908816,-123.113952,49.2608724
Vancouver-New York,-123.113952,49.2608724,-74.0060152,40.7127281
Vancouver-Los Angeles,-123.113952,49.2608724,-118.242766,34.0536909
Vancouver-Chicago,-123.113952,49.2608724,-87.6244212,41.8755616
Vancouver-San Diego,-123.113952,49.2608724,-117.162772,32.7174202
Vancouver-San Francisco,-123.113952,49.2608724,-122.4193286,37.7792588
Vancouver-Seattle,-123.113952,49.2608724,-122.330062,47.6038321
Vancouver-Washington,-123.113952,49.2608724,-77.0365427,38.8950368
Vancouver-Boston,-123.113952,49.2608724,-71.060511,42.3554334
Vancouver-Baltimore,-123.113952,49.2608724,-76.610759,39.2908816
