type,route_name,origin,destination,time,distance,CO2,price,olon,olat,dlon,dlat
road,New York-Los Angeles,New York,Los Angeles,49.79227777777778,4499.1292,539.8955040000001,224.95646000000002,-74.0060152,40.7127281,-118.243683,34.052235
road,New York-Chicago,New York,Chicago,14.888388888888889,1274.548,152.94576,63.7274,-74.0060152,40.7127281,-87.6244212,41.8755616
road,New York-Houston,New York,Houston,30.229777777777777,2622.2531,314.670372,131.112655,-74.0060152,40.7127281,-95.3676974,29.7589382
road,New York-Phoenix,New York,Phoenix,44.13658333333333,3881.0122,465.72146399999997,194.05061,-74.0060152,40.7127281,-112.074141,33.4484367
road,New York-Philadelphia,New York,Philadelphia,2.0310277777777777,152.706,18.32472,7.6353,-74.0060152,40.7127281,-75.1635262,39.9527237
road,New York-San Antonio,New York,San Antonio,33.21341666666667,2933.2261000000003,351.98713200000003,146.66130500000003,-74.0060152,40.7127281,-98.4951405,29.4246002
road,New York-San Diego,New York,San Diego,50.54711111111112,4510.1832,541.221984,225.50916000000004,-74.0060152,40.7127281,-117.162772,32.7174202
road,New York-Dallas,New York,Dallas,28.364416666666664,2494.782,299.37384000000003,124.73910000000001,-74.0060152,40.7127281,-96.7968559,32.7762719
road,New York-San Jose,New York,San Jose,51.92119444444444,4733.4101,568.0092119999999,236.67050500000002,-74.0060152,40.7127281,-121.890591,37.3361663
road,New York-Austin,New York,Austin,31.756944444444443,2807.2798,336.87357599999996,140.36399,-74.0060152,40.7127281,-97.7436995,30.2711286
road,New York-Jacksonville,New York,Jacksonville,17.740027777777776,1506.3139,180.757668,75.315695,-74.0060152,40.7127281,-81.655651,30.3321838
road,New York-Fort Worth,New York,Fort Worth,29.00161111111112,2546.1483,305.53779599999996,127.30741499999999,-74.0060152,40.7127281,-97.3327459,32.753177
road,New York-Columbus,New York,Columbus,10.530416666666667,862.5244,103.502928,43.12622,-74.0060152,40.7127281,-83.0007065,39.9622601
road,New York-Charlotte,New York,Charlotte,12.291138888888888,1002.8408,120.34089599999999,50.14204,-74.0060152,40.7127281,-80.8430827,35.2272086
road,New York-San Francisco,New York,San Francisco,51.379333333333335,4685.3606,562.2432719999999,234.26803,-74.0060152,40.7127281,-122.4193286,37.7792588
road,New York-Indianapolis,New York,Indianapolis,13.764777777777775,1143.781,137.25372,57.18905,-74.0060152,40.7127281,-86.1583502,39.7683331
road,New York-Seattle,New York,Seattle,50.83058333333334,4569.177,548.3012399999999,228.45884999999998,-74.0060152,40.7127281,-122.330062,47.6038321
road,New York-Denver,New York,Denver,32.28030555555556,2867.2795,344.07354,143.363975,-74.0060152,40.7127281,-104.984862,39.7392364
road,New York-Washington,New York,Washington,4.755194444444444,364.3931,43.727171999999996,18.219655,-74.0060152,40.7127281,-77.0365427,38.8950368
road,New York-Boston,New York,Boston,4.67375,343.387,41.20644,17.16935,-74.0060152,40.7127281,-71.060511,42.3554334
road,New York-El Paso,New York,El Paso,39.01002777777778,3516.6183,421.994196,175.830915,-74.0060152,40.7127281,-106.4870404,31.7601164
road,New York-Nashville,New York,Nashville,16.571583333333333,1424.3351,170.920212,71.216755,-74.0060152,40.7127281,-86.7742984,36.1622767
road,New York-Detroit,New York,Detroit,11.695944444444445,992.0021,119.040252,49.600105000000006,-74.0060152,40.7127281,-83.0466403,42.3315509
road,New York-Oklahoma City,New York,Oklahoma City,27.11133333333333,2334.6992,280.163904,116.73496,-74.0060152,40.7127281,-97.5170536,35.4729886
road,New York-Portland,New York,Portland,51.17675,4667.5776,560.1093119999999,233.37887999999998,-74.0060152,40.7127281,-122.674194,45.5202471
road,New York-Las Vegas,New York,Las Vegas,44.90013888888889,4065.6818,487.88181599999996,203.28409,-74.0060152,40.7127281,-115.1463536,36.171697
road,New York-Memphis,New York,Memphis,20.470166666666668,1767.2046,212.064552,88.36023,-74.0060152,40.7127281,-90.0517638,35.1460249
road,New York-Baltimore,New York,Baltimore,3.91125,302.17440000000005,36.26092800000001,15.108720000000003,-74.0060152,40.7127281,-76.61219,39.290386
road,New York-Louisville,New York,Louisville,14.35361111111111,1189.3538999999998,142.72246799999996,59.46769499999999,-74.0060152,40.7127281,-85.759407,38.2542376
road,Los Angeles-New York,Los Angeles,New York,49.84705555555556,4504.138599999999,540.4966319999999,225.20692999999997,-118.243683,34.052235,-74.0060152,40.7127281
road,Los Angeles-Chicago,Los Angeles,Chicago,35.525444444444446,3249.83,389.9796,162.4915,-118.243683,34.052235,-87.6244212,41.8755616
road,Los Angeles-Houston,Los Angeles,Houston,26.39925,2491.2363,298.948356,124.56181500000001,-118.243683,34.052235,-95.3676974,29.7589382
road,Los Angeles-Phoenix,Los Angeles,Phoenix,6.6963888888888885,599.8838000000001,71.986056,29.994190000000003,-118.243683,34.052235,-112.074141,33.4484367
road,Los Angeles-Philadelphia,Los Angeles,Philadelphia,48.35808333333333,4360.199,523.2238799999999,218.00995,-118.243683,34.052235,-75.1635262,39.9527237
road,Los Angeles-San Antonio,Los Angeles,San Antonio,22.988,2178.7504,261.450048,108.93752,-118.243683,34.052235,-98.4951405,29.4246002
road,Los Angeles-San Diego,Los Angeles,San Diego,2.454888888888889,195.54870000000005,23.465844000000004,9.777435000000004,-118.243683,34.052235,-117.162772,32.7174202
road,Los Angeles-Dallas,Los Angeles,Dallas,24.77561111111111,2314.222,277.70664,115.71110000000002,-118.243683,34.052235,-96.7968559,32.7762719
road,Los Angeles-San Jose,Los Angeles,San Jose,6.430222222222222,547.2179,65.66614799999999,27.360895,-118.243683,34.052235,-121.890591,37.3361663
road,Los Angeles-Austin,Los Angeles,Austin,23.786527777777778,2219.2164,266.30596799999995,110.96082,-118.243683,34.052235,-97.7436995,30.2711286
road,Los Angeles-Jacksonville,Los Angeles,Jacksonville,42.24711111111111,3890.7006,466.884072,194.53503,-118.243683,34.052235,-81.655651,30.3321838
road,Los Angeles-Fort Worth,Los Angeles,Fort Worth,24.14402777777778,2262.9683,271.556196,113.148415,-118.243683,34.052235,-97.3327459,32.753177
road,Los Angeles-Columbus,Los Angeles,Columbus,39.44655555555556,3603.9995,432.47994,180.199975,-118.243683,34.052235,-83.0007065,39.9622601
road,Los Angeles-Charlotte,Los Angeles,Charlotte,42.599222222222224,3893.4021,467.20825199999996,194.670105,-118.243683,34.052235,-80.8430827,35.2272086
road,Los Angeles-San Francisco,Los Angeles,San Francisco,7.1243333333333325,613.5952,73.631424,30.67976,-118.243683,34.052235,-122.4193286,37.7792588
road,Los Angeles-Indianapolis,Los Angeles,Indianapolis,36.22327777777778,3322.8806,398.74567199999996,166.14403000000001,-118.243683,34.052235,-86.1583502,39.7683331
road,Los Angeles-Seattle,Los Angeles,Seattle,21.50025,1826.2385,219.14862,91.311925,-118.243683,34.052235,-122.330062,47.6038321
road,Los Angeles-Denver,Los Angeles,Denver,17.78611111111111,1636.6788,196.401456,81.83394,-118.243683,34.052235,-104.984862,39.7392364
road,Los Angeles-Washington,Los Angeles,Washington,46.95622222222222,4298.9056,515.868672,214.94528000000003,-118.243683,34.052235,-77.0365427,38.8950368
road,Los Angeles-Boston,Los Angeles,Boston,53.69205555555556,4821.7763,578.613156,241.08881500000004,-118.243683,34.052235,-71.060511,42.3554334
road,Los Angeles-El Paso,Los Angeles,El Paso,14.106388888888889,1291.6072,154.992864,64.58036,-118.243683,34.052235,-106.4870404,31.7601164
road,Los Angeles-Nashville,Los Angeles,Nashville,34.775388888888884,3230.2661000000003,387.631932,161.51330500000003,-118.243683,34.052235,-86.7742984,36.1622767
road,Los Angeles-Detroit,Los Angeles,Detroit,40.14619444444444,3675.0093,441.001116,183.75046500000002,-118.243683,34.052235,-83.0466403,42.3315509
road,Los Angeles-Oklahoma City,Los Angeles,Oklahoma City,22.88005555555556,2139.1359,256.69630800000004,106.95679500000001,-118.243683,34.052235,-97.5170536,35.4729886
road,Los Angeles-Portland,Los Angeles,Portland,18.15325,1548.5732,185.82878399999998,77.42866000000001,-118.243683,34.052235,-122.674194,45.5202471
road,Los Angeles-Las Vegas,Los Angeles,Las Vegas,4.953277777777777,434.5975,52.1517,21.729875000000003,-118.243683,34.052235,-115.1463536,36.171697
road,Los Angeles-Memphis,Los Angeles,Memphis,30.901722222222222,2888.8869,346.666428,144.444345,-118.243683,34.052235,-90.0517638,35.1460249
road,Los Angeles-Baltimore,Los Angeles,Baltimore,47.20141666666667,4251.4945,510.17933999999997,212.574725,-118.243683,34.052235,-76.61219,39.290386
