type,route_name,origin,destination,time,distance,olon,olat,dlon,dlat,CO2,price
train,New York - Chicago,New York,Chicago,19.01896802837237,1521.51744226979,-74.0060152,40.7127281,-87.6244212,41.8755616,42.29818489510016,76.07587211348951
train,New York - Washington,New York,Washington,4.917352819939061,393.3882255951249,-74.0060152,40.7127281,-77.0365427,38.8950368,10.936192671544472,19.669411279756247
train,New York - Boston,New York,Boston,4.692982169822069,375.4385735857656,-74.0060152,40.7127281,-71.060511,42.3554334,10.437192345684284,18.77192867928828
train,San Diego - San Antonio,San Diego,San Antonio,26.377024172308285,2110.161933784663,-117.162772,32.7174202,-98.4951405,29.4246002,58.66250175921362,105.50809668923314
train,San Antonio - Austin,San Antonio,Austin,1.5750857480319929,126.00685984255944,-98.4951405,29.4246002,-97.7436995,30.2711286,3.502990703623152,6.300342992127972
train,San Antonio - Houston,San Antonio,Houston,4.376634106618563,350.13072852948505,-98.4951405,29.4246002,-95.3676974,29.7589382,9.733634253119684,17.506536426474252
train,Los Angeles - San Diego,Los Angeles,San Diego,2.390792362389529,191.26338899116232,-118.242766,34.0536909,-117.162772,32.7174202,5.317122213954312,9.563169449558115
train,Los Angeles - Austin,Los Angeles,Austin,29.00600040456517,2320.4800323652144,-118.242766,34.0536909,-97.7436995,30.2711286,64.50934489975296,116.02400161826073
train,Los Angeles - San Jose,Los Angeles,San Jose,6.828462395290375,546.27699162323,-118.242766,34.0536909,-121.890591,37.3361663,15.186500367125792,27.3138495811615
train,Chicago - Detroit,Chicago,Detroit,6.401505608131345,512.1204486505076,-87.6244212,41.8755616,-83.0466403,42.3315509,14.23694847248411,25.60602243252538
train,Washington - Jacksonville,Washington,Jacksonville,13.538273359247489,1083.0618687397991,-77.0365427,38.8950368,-81.655651,30.3321838,30.109119950966413,54.15309343698996
train,Chicago - Louisville,Chicago,Louisville,5.668081087278531,453.44648698228247,-87.6244212,41.8755616,-85.759407,38.2542376,12.605812338107452,22.672324349114124
train,Chicago - New York,Chicago,New York,19.01896802837237,1521.51744226979,-87.6244212,41.8755616,-74.0060152,40.7127281,42.29818489510016,76.07587211348951
train,Washington - New York,Washington,New York,4.917352819939061,393.3882255951249,-77.0365427,38.8950368,-74.0060152,40.7127281,10.936192671544472,19.669411279756247
train,Boston - New York,Boston,New York,4.692982169822069,375.4385735857656,-71.060511,42.3554334,-74.0060152,40.7127281,10.437192345684284,18.77192867928828
train,San Antonio - San Diego,San Antonio,San Diego,26.377024172308285,2110.161933784663,-98.4951405,29.4246002,-117.162772,32.7174202,58.66250175921362,105.50809668923314
train,Austin - San Antonio,Austin,San Antonio,1.5750857480319929,126.00685984255944,-97.7436995,30.2711286,-98.4951405,29.4246002,3.502990703623152,6.300342992127972
train,Houston - San Antonio,Houston,San Antonio,4.376634106618563,350.13072852948505,-95.3676974,29.7589382,-98.4951405,29.4246002,9.733634253119684,17.506536426474252
train,San Diego - Los Angeles,San Diego,Los Angeles,2.390792362389529,191.26338899116232,-117.162772,32.7174202,-118.242766,34.0536909,5.317122213954312,9.563169449558115
train,Austin - Los Angeles,Austin,Los Angeles,29.00600040456517,2320.4800323652144,-97.7436995,30.2711286,-118.242766,34.0536909,64.50934489975296,116.02400161826073
train,San Jose - Los Angeles,San Jose,Los Angeles,6.828462395290375,546.27699162323,-121.890591,37.3361663,-118.242766,34.0536909,15.186500367125792,27.3138495811615
train,Detroit - Chicago,Detroit,Chicago,6.401505608131345,512.1204486505076,-83.0466403,42.3315509,-87.6244212,41.8755616,14.23694847248411,25.60602243252538
train,Jacksonville - Washington,Jacksonville,Washington,13.538273359247489,1083.0618687397991,-81.655651,30.3321838,-77.0365427,38.8950368,30.109119950966413,54.15309343698996
train,Louisville - Chicago,Louisville,Chicago,5.668081087278531,453.44648698228247,-85.759407,38.2542376,-87.6244212,41.8755616,12.605812338107452,22.672324349114124
