route_name,olon,olat,dlon,dlat
New York-Los Angeles,-74.0060152,40.7127281,-118.243683,34.052235
New York-Chicago,-74.0060152,40.7127281,-87.6244212,41.8755616
New York-San Diego,-74.0060152,40.7127281,-117.162772,32.7174202
New York-San Francisco,-74.0060152,40.7127281,-122.4193286,37.7792588
New York-Seattle,-74.0060152,40.7127281,-122.330062,47.6038321
New York-Washington,-74.0060152,40.7127281,-77.0365427,38.8950368
New York-Boston,-74.0060152,40.7127281,-71.060511,42.3554334
New York-Baltimore,-74.0060152,40.7127281,-76.61219,39.290386
Los Angeles-Chicago,-118.243683,34.052235,-87.6244212,41.8755616
Los Angeles-San Diego,-118.243683,34.052235,-117.162772,32.7174202
Los Angeles-San Francisco,-118.243683,34.052235,-122.4193286,37.7792588
Los Angeles-Seattle,-118.243683,34.052235,-122.330062,47.6038321
Los Angeles-Washington,-118.243683,34.052235,-77.0365427,38.8950368
Los Angeles-Boston,-118.243683,34.052235,-71.060511,42.3554334
Los Angeles-Baltimore,-118.243683,34.052235,-76.61219,39.290386
Chicago-San Diego,-87.6244212,41.8755616,-117.162772,32.7174202
Chicago-San Francisco,-87.6244212,41.8755616,-122.4193286,37.7792588
Chicago-Seattle,-87.6244212,41.8755616,-122.330062,47.6038321
Chicago-Washington,-87.6244212,41.8755616,-77.0365427,38.8950368
Chicago-Boston,-87.6244212,41.8755616,-71.060511,42.3554334
Chicago-Baltimore,-87.6244212,41.8755616,-76.61219,39.290386
San Diego-San Francisco,-117.162772,32.7174202,-122.4193286,37.7792588
San Diego-Seattle,-117.162772,32.7174202,-122.330062,47.6038321
San Diego-Washington,-117.162772,32.7174202,-77.0365427,38.8950368
San Diego-Boston,-117.162772,32.7174202,-71.060511,42.3554334
San Diego-Baltimore,-117.162772,32.7174202,-76.61219,39.290386
San Francisco-Seattle,-122.4193286,37.7792588,-122.330062,47.6038321
San Francisco-Washington,-122.4193286,37.7792588,-77.0365427,38.8950368
San Francisco-Boston,-122.4193286,37.7792588,-71.060511,42.3554334
San Francisco-Baltimore,-122.4193286,37.7792588,-76.61219,39.290386
Seattle-Washington,-122.330062,47.6038321,-77.0365427,38.8950368
Seattle-Boston,-122.330062,47.6038321,-71.060511,42.3554334
Seattle-Baltimore,-122.330062,47.6038321,-76.61219,39.290386
Washington-Boston,-77.0365427,38.8950368,-71.060511,42.3554334
Washington-Baltimore,-77.0365427,38.8950368,-76.61219,39.290386
Boston-Baltimore,-71.060511,42.3554334,-76.61219,39.290386
