type,route_name,origin,destination,time,distance,CO2,price,olon,olat,dlon,dlat
road,New York-Philadelphia,New York,Philadelphia,2.0310277777777777,152.706,18.32472,7.6353,-74.0060152,40.7127281,-75.1635262,39.9527237
road,New York-Columbus,New York,Columbus,10.530416666666667,862.5244,103.502928,43.12622,-74.0060152,40.7127281,-83.0007065,39.9622601
road,New York-Washington,New York,Washington,4.755194444444444,364.3931,43.727171999999996,18.219655,-74.0060152,40.7127281,-77.0365427,38.8950368
road,New York-Boston,New York,Boston,4.67375,343.387,41.20644,17.16935,-74.0060152,40.7127281,-71.060511,42.3554334
road,New York-Detroit,New York,Detroit,11.695944444444445,992.0021,119.040252,49.600105000000006,-74.0060152,40.7127281,-83.0466403,42.3315509
road,New York-Baltimore,New York,Baltimore,3.91125,302.17440000000005,36.26092800000001,15.108720000000003,-74.0060152,40.7127281,-76.61219,39.290386
road,Los Angeles-Phoenix,Los Angeles,Phoenix,6.6963888888888885,599.8838000000001,71.986056,29.994190000000003,-118.243683,34.052235,-112.074141,33.4484367
road,Los Angeles-San Diego,Los Angeles,San Diego,2.454888888888889,195.54870000000005,23.465844000000004,9.777435000000004,-118.243683,34.052235,-117.162772,32.7174202
road,Los Angeles-San Jose,Los Angeles,San Jose,6.430222222222222,547.2179,65.66614799999999,27.360895,-118.243683,34.052235,-121.890591,37.3361663
road,Los Angeles-San Francisco,Los Angeles,San Francisco,7.1243333333333325,613.5952,73.631424,30.67976,-118.243683,34.052235,-122.4193286,37.7792588
road,Los Angeles-Las Vegas,Los Angeles,Las Vegas,4.953277777777777,434.5975,52.1517,21.729875000000003,-118.243683,34.052235,-115.1463536,36.171697
road,Chicago-Columbus,Chicago,Columbus,6.770388888888889,569.0421,68.285052,28.452105000000003,-87.6244212,41.8755616,-83.0007065,39.9622601
road,Chicago-Indianapolis,Chicago,Indianapolis,3.5959166666666667,290.8266,34.899192,14.54133,-87.6244212,41.8755616,-86.1583502,39.7683331
road,Chicago-Nashville,Chicago,Nashville,8.849416666666666,753.7627,90.45152399999999,37.688135,-87.6244212,41.8755616,-86.7742984,36.1622767
road,Chicago-Detroit,Chicago,Detroit,5.281166666666667,453.0246,54.362952,22.65123,-87.6244212,41.8755616,-83.0466403,42.3315509
road,Chicago-Memphis,Chicago,Memphis,9.740916666666667,855.9293,102.711516,42.796465000000005,-87.6244212,41.8755616,-90.0517638,35.1460249
road,Chicago-Louisville,Chicago,Louisville,5.679083333333334,474.5832,56.94998399999999,23.72916,-87.6244212,41.8755616,-85.759407,38.2542376
road,Houston-San Antonio,Houston,San Antonio,3.4954444444444444,315.3023,37.836276,15.765115000000002,-95.3676974,29.7589382,-98.4951405,29.4246002
road,Houston-Dallas,Houston,Dallas,4.242083333333333,384.7025,46.1643,19.235125,-95.3676974,29.7589382,-96.7968559,32.7762719
road,Houston-Austin,Houston,Austin,3.0219722222222223,262.3538,31.482455999999996,13.11769,-95.3676974,29.7589382,-97.7436995,30.2711286
road,Houston-Fort Worth,Houston,Fort Worth,4.756361111111112,422.2328,50.667936,21.11164,-95.3676974,29.7589382,-97.3327459,32.753177
road,Houston-Oklahoma City,Houston,Oklahoma City,7.8662222222222224,715.0739,85.80886799999999,35.753695,-95.3676974,29.7589382,-97.5170536,35.4729886
road,Houston-Memphis,Houston,Memphis,10.425,912.5255,109.50305999999999,45.626275,-95.3676974,29.7589382,-90.0517638,35.1460249
road,Phoenix-Los Angeles,Phoenix,Los Angeles,6.697416666666667,600.1144,72.013728,30.005720000000004,-112.074141,33.4484367,-118.243683,34.052235
road,Phoenix-San Diego,Phoenix,San Diego,6.564138888888889,571.5723,68.588676,28.578615000000003,-112.074141,33.4484367,-117.162772,32.7174202
road,Phoenix-El Paso,Phoenix,El Paso,7.483777777777777,692.1568000000001,83.05881600000001,34.60784,-112.074141,33.4484367,-106.4870404,31.7601164
road,Phoenix-Las Vegas,Phoenix,Las Vegas,5.977027777777778,460.1066,55.212792,23.00533,-112.074141,33.4484367,-115.1463536,36.171697
road,Philadelphia-New York,Philadelphia,New York,2.021027777777778,151.3953,18.167436,7.569765,-75.1635262,39.9527237,-74.0060152,40.7127281
road,Philadelphia-Columbus,Philadelphia,Columbus,8.985527777777778,755.9211,90.710532,37.796055,-75.1635262,39.9527237,-83.0007065,39.9622601
road,Philadelphia-Charlotte,Philadelphia,Charlotte,10.570416666666668,863.3838000000001,103.60605600000001,43.16919000000001,-75.1635262,39.9527237,-80.8430827,35.2272086
road,Philadelphia-Washington,Philadelphia,Washington,3.0344722222222225,224.9361,26.992332,11.246805000000002,-75.1635262,39.9527237,-77.0365427,38.8950368
road,Philadelphia-Boston,Philadelphia,Boston,6.40375,489.0874,58.690487999999995,24.45437,-75.1635262,39.9527237,-71.060511,42.3554334
