route_name,type,origin,destination,olat,olon,dlat,dlon,distance,time,CO2,price
New York-Los Angeles,road,New York,Los Angeles,40.7127281,-74.0060152,34.052235,-118.243683,4499.1292,49.79227777777778,539.8955040000001,224.95646
New York-Chicago,road,New York,Chicago,40.7127281,-74.0060152,41.8755616,-87.6244212,1274.548,14.888388888888889,152.94576,63.7274
New York-Houston,road,New York,Houston,40.7127281,-74.0060152,29.7589382,-95.3676974,2622.2531,30.229777777777777,314.670372,131.112655
New York-Phoenix,road,New York,Phoenix,40.7127281,-74.0060152,33.4484367,-112.074141,3881.0122,44.13658333333333,465.721464,194.05061
New York-Philadelphia,road,New York,Philadelphia,40.7127281,-74.0060152,39.9527237,-75.1635262,152.706,2.0310277777777777,18.32472,7.6353
New York-San Antonio,road,New York,San Antonio,40.7127281,-74.0060152,29.4246002,-98.4951405,2933.2261000000003,33.21341666666667,351.98713200000003,146.66130500000003
New York-San Diego,road,New York,San Diego,40.7127281,-74.0060152,32.7174202,-117.162772,4510.1832,50.54711111111112,541.221984,225.50916000000004
New York-Dallas,road,New York,Dallas,40.7127281,-74.0060152,32.7762719,-96.7968559,2494.782,28.364416666666664,299.37384000000003,124.7391
New York-San Jose,road,New York,San Jose,40.7127281,-74.0060152,37.3361663,-121.890591,4733.4101,51.92119444444444,568.0092119999999,236.670505
New York-Austin,road,New York,Austin,40.7127281,-74.0060152,30.2711286,-97.7436995,2807.2798,31.756944444444443,336.873576,140.36399
New York-Jacksonville,road,New York,Jacksonville,40.7127281,-74.0060152,30.3321838,-81.655651,1506.3139,17.740027777777776,180.757668,75.315695
New York-Fort Worth,road,New York,Fort Worth,40.7127281,-74.0060152,32.753177,-97.3327459,2546.1483,29.00161111111112,305.537796,127.307415
New York-Columbus,road,New York,Columbus,40.7127281,-74.0060152,39.9622601,-83.0007065,862.5244,10.530416666666667,103.502928,43.12622
New York-Charlotte,road,New York,Charlotte,40.7127281,-74.0060152,35.2272086,-80.8430827,1002.8408,12.291138888888888,120.340896,50.14204
New York-San Francisco,road,New York,San Francisco,40.7127281,-74.0060152,37.7792588,-122.4193286,4685.3606,51.379333333333335,562.2432719999999,234.26803
New York-Indianapolis,road,New York,Indianapolis,40.7127281,-74.0060152,39.7683331,-86.1583502,1143.781,13.764777777777775,137.25372,57.18905
New York-Seattle,road,New York,Seattle,40.7127281,-74.0060152,47.6038321,-122.330062,4569.177,50.83058333333334,548.3012399999999,228.45885
New York-Denver,road,New York,Denver,40.7127281,-74.0060152,39.7392364,-104.984862,2867.2795,32.28030555555556,344.07354,143.363975
New York-Washington,road,New York,Washington,40.7127281,-74.0060152,38.8950368,-77.0365427,364.3931,4.755194444444444,43.727172,18.219655
New York-Boston,road,New York,Boston,40.7127281,-74.0060152,42.3554334,-71.060511,343.387,4.67375,41.20644,17.16935
New York-El Paso,road,New York,El Paso,40.7127281,-74.0060152,31.7601164,-106.4870404,3516.6183,39.01002777777778,421.994196,175.830915
New York-Nashville,road,New York,Nashville,40.7127281,-74.0060152,36.1622767,-86.7742984,1424.3351,16.571583333333333,170.920212,71.216755
New York-Detroit,road,New York,Detroit,40.7127281,-74.0060152,42.3315509,-83.0466403,992.0021,11.695944444444445,119.040252,49.600105000000006
New York-Oklahoma City,road,New York,Oklahoma City,40.7127281,-74.0060152,35.4729886,-97.5170536,2334.6992,27.11133333333333,280.163904,116.73496
New York-Portland,road,New York,Portland,40.7127281,-74.0060152,45.5202471,-122.674194,4667.5776,51.17675,560.1093119999999,233.37888
