type,route_name,origin,destination,time,distance,CO2,price,olon,olat,dlon,dlat
airplane,New York-Los Angeles,New York,Los Angeles,5.919499113763441,3935.5992910107534,452.5939184662367,393.55992910107534,-74.0060152,40.7127281,-118.242766,34.0536909
airplane,New York-Chicago,New York,Chicago,2.42979606213935,1143.83684971148,131.5412377168202,114.383684971148,-74.0060152,40.7127281,-87.6244212,41.8755616
airplane,New York-Houston,New York,Houston,3.851600533355089,2281.280426684071,262.34724906866813,228.1280426684071,-74.0060152,40.7127281,-95.3676974,29.7589382
airplane,New York-Phoenix,New York,Phoenix,5.304632982803513,3443.7063862428104,396.0262344179232,344.37063862428107,-74.0060152,40.7127281,-112.074141,33.4484367
airplane,New York-Philadelphia,New York,Philadelphia,1.1618625717403224,129.49005739225782,14.891356600109653,12.949005739225782,-74.0060152,40.7127281,-75.1635262,39.9527237
airplane,New York-San Antonio,New York,San Antonio,4.181373988392717,2545.0991907141733,292.68640693213,254.50991907141736,-74.0060152,40.7127281,-98.4951405,29.4246002
airplane,New York-San Diego,New York,San Diego,5.884023917886699,3907.21913430936,449.3302004455764,390.721913430936,-74.0060152,40.7127281,-117.162772,32.7174202
airplane,New York-Dallas,New York,Dallas,3.757169936942471,2205.7359495539768,253.65963419870732,220.57359495539768,-74.0060152,40.7127281,-96.7968559,32.7762719
airplane,New York-San Jose,New York,San Jose,6.127863538388092,4102.2908307104735,471.76344553170446,410.2290830710474,-74.0060152,40.7127281,-121.890591,37.3361663
airplane,New York-Austin,New York,Austin,4.039254367582753,2431.4034940662027,279.61140181761334,243.1403494066203,-74.0060152,40.7127281,-97.7436995,30.2711286
airplane,New York-Jacksonville,New York,Jacksonville,2.680788875258056,1344.631100206445,154.63257652374116,134.4631100206445,-74.0060152,40.7127281,-81.655651,30.3321838
airplane,New York-Fort Worth,New York,Fort Worth,3.813043579529,2250.4348636232,258.800009316668,225.04348636232,-74.0060152,40.7127281,-97.3327459,32.753177
airplane,New York-Columbus,New York,Columbus,1.958224754679263,766.5798037434105,88.15667743049221,76.65798037434105,-74.0060152,40.7127281,-83.0007065,39.9622601
airplane,New York-Charlotte,New York,Charlotte,2.068227383889906,854.5819071119246,98.27691931787132,85.45819071119246,-74.0060152,40.7127281,-80.8430827,35.2272086
airplane,New York-San Francisco,New York,San Francisco,6.161142697501214,4128.914158000971,474.82512817011167,412.8914158000971,-74.0060152,40.7127281,-122.4193286,37.7792588
airplane,New York-Indianapolis,New York,Indianapolis,2.294967493146828,1035.9739945174624,119.13700936950818,103.59739945174624,-74.0060152,40.7127281,-86.1583502,39.7683331
airplane,New York-Seattle,New York,Seattle,5.831763073908357,3865.4104591266855,444.5222027995688,386.54104591266855,-74.0060152,40.7127281,-122.330062,47.6038321
airplane,New York-Denver,New York,Denver,4.273250410371205,2618.600328296963,301.1390377541508,261.8600328296963,-74.0060152,40.7127281,-104.984862,39.7392364
airplane,New York-Washington,New York,Washington,1.4105015048413532,328.40120387308264,37.76613844540451,32.84012038730827,-74.0060152,40.7127281,-77.0365427,38.8950368
airplane,New York-Boston,New York,Boston,1.3821298629919068,305.70389039352534,35.15594739525542,30.57038903935253,-74.0060152,40.7127281,-71.060511,42.3554334
airplane,New York-El Paso,New York,El Paso,4.822516444904758,3058.013155923806,351.6715129312377,305.8013155923806,-74.0060152,40.7127281,-106.4870404,31.7601164
airplane,New York-Nashville,New York,Nashville,2.5252536237383283,1220.2028989906626,140.3233333839262,122.02028989906626,-74.0060152,40.7127281,-86.7742984,36.1622767
airplane,New York-Detroit,New York,Detroit,1.966820804463585,773.4566435708686,88.94751401064988,77.34566435708686,-74.0060152,40.7127281,-83.0466403,42.3315509
airplane,New York-Oklahoma City,New York,Oklahoma City,3.663859722475826,2131.087777980661,245.07509446777604,213.1087777980661,-74.0060152,40.7127281,-97.5170536,35.4729886
airplane,New York-Portland,New York,Portland,5.90653334364825,3925.2266749186,451.401067615639,392.52266749186,-74.0060152,40.7127281,-122.674194,45.5202471
airplane,New York-Las Vegas,New York,Las Vegas,5.481679163011888,3585.3433304095106,412.31448299709376,358.5343330409511,-74.0060152,40.7127281,-115.1463536,36.171697
airplane,New York-Memphis,New York,Memphis,2.918008401783651,1534.406721426921,176.45677296409593,153.4406721426921,-74.0060152,40.7127281,-90.0517638,35.1460249
airplane,New York-Baltimore,New York,Baltimore,1.3405185028412512,272.414802273001,31.327702261395117,27.2414802273001,-74.0060152,40.7127281,-76.610759,39.2908816
airplane,New York-Louisville,New York,Louisville,2.305197990624747,1044.1583924997974,120.0782151374767,104.41583924997974,-74.0060152,40.7127281,-85.759407,38.2542376
airplane,Los Angeles-New York,Los Angeles,New York,5.919499113763441,3935.5992910107534,452.5939184662367,393.55992910107534,-118.242766,34.0536909,-74.0060152,40.7127281
airplane,Los Angeles-Chicago,Los Angeles,Chicago,4.505276587104254,2804.2212696834035,322.4854460135914,280.4221269683404,-118.242766,34.0536909,-87.6244212,41.8755616
airplane,Los Angeles-Houston,Los Angeles,Houston,3.758050360166816,2206.440288133452,253.74063313534705,220.64402881334524,-118.242766,34.0536909,-95.3676974,29.7589382
airplane,Los Angeles-Phoenix,Los Angeles,Phoenix,1.717726271845056,574.1810174760449,66.03081700974516,57.41810174760449,-118.242766,34.0536909,-112.074141,33.4484367
airplane,Los Angeles-Philadelphia,Los Angeles,Philadelphia,5.804314330019795,3843.451464015836,441.99691836182114,384.3451464015836,-118.242766,34.0536909,-75.1635262,39.9527237
airplane,Los Angeles-San Antonio,Los Angeles,San Antonio,3.4169387868166288,1933.551029453303,222.35836838712987,193.35510294533032,-118.242766,34.0536909,-98.4951405,29.4246002
airplane,Los Angeles-San Diego,Los Angeles,San Diego,1.2240660258780247,179.25282070241985,20.614074380778284,17.925282070241987,-118.242766,34.0536909,-117.162772,32.7174202
airplane,Los Angeles-Dallas,Los Angeles,Dallas,3.489896947606441,1991.917558085153,229.0705191797926,199.1917558085153,-118.242766,34.0536909,-96.7968559,32.7762719
airplane,Los Angeles-San Jose,Los Angeles,San Jose,1.614472751799635,491.5782014397078,56.5314931655664,49.15782014397078,-118.242766,34.0536909,-121.890591,37.3361663
airplane,Los Angeles-Austin,Los Angeles,Austin,3.4641063045065463,1971.285043605237,226.69778001460227,197.1285043605237,-118.242766,34.0536909,-97.7436995,30.2711286
airplane,Los Angeles-Jacksonville,Los Angeles,Jacksonville,5.311667308286099,3449.3338466288787,396.67339236232107,344.9333846628879,-118.242766,34.0536909,-81.655651,30.3321838
airplane,Los Angeles-Fort Worth,Los Angeles,Fort Worth,3.428771342011134,1943.0170736089071,223.44696346502437,194.30170736089076,-118.242766,34.0536909,-97.3327459,32.753177
airplane,Los Angeles-Columbus,Los Angeles,Columbus,4.969935132854131,3175.9481062833047,365.2340322225801,317.5948106283305,-118.242766,34.0536909,-83.0007065,39.9622601
airplane,Los Angeles-Charlotte,Los Angeles,Charlotte,5.254571700394971,3403.6573603159763,391.4205964363373,340.36573603159763,-118.242766,34.0536909,-80.8430827,35.2272086
airplane,Los Angeles-San Francisco,Los Angeles,San Francisco,1.6992491800248437,559.3993440198749,64.33092456228562,55.93993440198749,-118.242766,34.0536909,-122.4193286,37.7792588
airplane,Los Angeles-Indianapolis,Los Angeles,Indianapolis,4.632476807682832,2905.9814461462656,334.1878663068206,290.59814461462656,-118.242766,34.0536909,-86.1583502,39.7683331
airplane,Los Angeles-Seattle,Los Angeles,Seattle,2.931084577094091,1544.8676616752723,177.65978109265632,154.48676616752724,-118.242766,34.0536909,-122.330062,47.6038321
airplane,Los Angeles-Denver,Los Angeles,Denver,2.669727055030775,1335.78164402462,153.6148890628313,133.578164402462,-118.242766,34.0536909,-104.984862,39.7392364
airplane,Los Angeles-Washington,Los Angeles,Washington,5.615003593250295,3692.002874600236,424.58033057902713,369.2002874600236,-118.242766,34.0536909,-77.0365427,38.8950368
airplane,Los Angeles-Boston,Los Angeles,Boston,6.21169036959306,4169.352295674448,479.4755140025616,416.9352295674448,-118.242766,34.0536909,-71.060511,42.3554334
airplane,Los Angeles-El Paso,Los Angeles,El Paso,2.4074673717618253,1125.9738974094605,129.48699820208796,112.59738974094606,-118.242766,34.0536909,-106.4870404,31.7601164
airplane,Los Angeles-Nashville,Los Angeles,Nashville,4.574537580986807,2859.630064789445,328.85745745078617,285.9630064789445,-118.242766,34.0536909,-86.7742984,36.1622767
airplane,Los Angeles-Detroit,Los Angeles,Detroit,4.9814358110244825,3185.1486488195856,366.29209461425233,318.5148648819586,-118.242766,34.0536909,-83.0466403,42.3315509
airplane,Los Angeles-Oklahoma City,Los Angeles,Oklahoma City,3.3704157370899104,1896.3325896719284,218.07824781227177,189.6332589671929,-118.242766,34.0536909,-97.5170536,35.4729886
airplane,Los Angeles-Portland,Los Angeles,Portland,2.6618647474281687,1329.4917979425347,152.8915567633915,132.94917979425347,-118.242766,34.0536909,-122.674194,45.5202471
airplane,Los Angeles-Las Vegas,Los Angeles,Las Vegas,1.458876473248543,367.1011785988344,42.21663553886596,36.71011785988344,-118.242766,34.0536909,-115.1463536,36.171697
airplane,Los Angeles-Memphis,Los Angeles,Memphis,4.2181686304504655,2574.534904360372,296.0715140014428,257.4534904360372,-118.242766,34.0536909,-90.0517638,35.1460249
airplane,Los Angeles-Baltimore,Los Angeles,Baltimore,5.6565090403054885,3725.207232244391,428.398831708105,372.5207232244391,-118.242766,34.0536909,-76.610759,39.2908816
airplane,Los Angeles-Louisville,Los Angeles,Louisville,4.672783623288668,2938.2268986309336,337.8960933425574,293.8226898630934,-118.242766,34.0536909,-85.759407,38.2542376
airplane,Chicago-New York,Chicago,New York,2.42979606213935,1143.83684971148,131.5412377168202,114.383684971148,-87.6244212,41.8755616,-74.0060152,40.7127281
airplane,Chicago-Los Angeles,Chicago,Los Angeles,4.505276587104254,2804.2212696834035,322.4854460135914,280.4221269683404,-87.6244212,41.8755616,-118.242766,34.0536909
airplane,Chicago-Houston,Chicago,Houston,2.894802150308907,1515.8417202471255,174.32179782841945,151.58417202471256,-87.6244212,41.8755616,-95.3676974,29.7589382
airplane,Chicago-Phoenix,Chicago,Phoenix,3.920878658846662,2336.7029270773296,268.7208366138929,233.67029270773295,-87.6244212,41.8755616,-112.074141,33.4484367
airplane,Chicago-Philadelphia,Chicago,Philadelphia,2.3345729305163454,1067.6583444130763,122.78070960750378,106.76583444130765,-87.6244212,41.8755616,-75.1635262,39.9527237
airplane,Chicago-San Antonio,Chicago,San Antonio,3.117970295451694,1694.376236361355,194.85326718155585,169.43762363613553,-87.6244212,41.8755616,-98.4951405,29.4246002
airplane,Chicago-San Diego,Chicago,San Diego,4.48385694937571,2787.0855595005683,320.5148393425654,278.70855595005685,-87.6244212,41.8755616,-117.162772,32.7174202
